dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.39411412676175434,-0.4276556770006816,0.03,-0.16742052137851715,0.03,-0.3316029558579127,0.03,-0.16497045755386353,0.06251117090384162,0.05,-0.1644249310096105,0.22968919575214383,0.26268521944681805,0.2632307459910711,1
4,-0.5962319175402323,-0.5840404232343038,0.03,-0.3353036642074585,0.03,-0.4901556173960368,0.05,-0.32967161138852435,0.1060763001441955,0.1,-0.33087750275929767,0.26535441478093463,0.2543688118457795,0.25316292047500616,1
8,-0.9863714575767517,-0.8735118508338928,0.03,-0.6660755674044291,0.03,-0.8131147623062134,0.1,-0.6605125268300375,0.17325669527053833,0.1,-0.6582962075869242,0.3280752499898275,0.21299932400385535,0.21521564324696862,1
