dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,all_ot_beat_kl
3,-0.2706582099199295,0.05,-0.3577001690864563,0.05,-0.3563339114189148,0.03,-0.3585028201341629,0
4,-0.35625387728214264,0.03,-0.4800184816122055,0.1,-0.4761534631252289,0.3,-0.48048536479473114,0
5,-0.44288042187690735,0.03,-0.6003129184246063,0.3,-0.5970572829246521,0.05,-0.5977609157562256,0
8,-0.70730921626091,0.1,-0.9598919451236725,1.0,-0.952046275138855,0.3,-0.9567629098892212,0
