dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,all_ot_beat_kl
3,-0.26572972536087036,0.05,-0.3621295392513275,0.05,-0.35728617012500763,0.03,-0.35901185870170593,0
4,-0.3500203639268875,0.03,-0.4822913259267807,0.03,-0.47789596021175385,0.03,-0.4811348170042038,0
5,-0.43575480580329895,0.03,-0.6026682555675507,0.03,-0.6005441248416901,0.05,-0.5987849235534668,0
8,-0.696083664894104,0.05,-0.9646984934806824,0.05,-0.9553716778755188,0.03,-0.9623742401599884,0
