dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,all_ot_beat_kl
3,-0.4005427360534668,0.03,-0.36313289403915405,0.1,-0.3558875024318695,0.03,-0.3602689653635025,1
4,-0.4712335914373398,0.03,-0.48272232711315155,0.3,-0.4778231382369995,0.05,-0.47770002484321594,0
5,-0.5881028473377228,0.03,-0.6037134230136871,0.05,-0.5959462821483612,0.05,-0.597185343503952,0
8,-0.8852565288543701,0.1,-0.9598610699176788,1.0,-0.9536671936511993,0.3,-0.9622308015823364,0
