dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.1944411744674047,-0.16165661811828613,0.03,-0.16567347447077432,0.03,-0.20444939533869425,0.05,-0.16359463334083557,-0.010008220871289553,1.0,-0.1642339527606964,0.03020722170670828,-0.0019380152225494385,-0.0025773346424102783,0
4,-0.3108784556388855,-0.25234176715215045,0.05,-0.3306192954381307,0.03,-0.38219454884529114,0.3,-0.32979999979337055,-0.07131609320640564,1.0,-0.3302019039789836,-0.01932344834009808,-0.07745823264122009,-0.07786013682683313,0
8,-0.497387558221817,-0.28920723994572956,0.05,-0.6603562037150065,0.03,-0.7209964593251547,0.1,-0.6565173665682474,-0.22360890110333764,0.1,-0.658906082312266,-0.16151852409044898,-0.3673101266225179,-0.36969884236653644,0
