dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.47094716628392536,-0.3662397861480713,0.05,-0.16615444421768188,0.03,-0.2007173498471578,0.1,-0.16449588040510812,0.2702298164367676,0.03,-0.16435069839159647,0.30659646789232886,0.20174390574296316,0.20188908775647482,1
4,-0.5486232042312622,-0.5389816065629324,0.05,-0.32937724391619366,0.03,-0.38145455718040466,0.3,-0.32955271005630493,0.16716864705085754,0.03,-0.32756948471069336,0.22105371952056885,0.2096043626467387,0.211412121852239,1
8,-0.9079071879386902,-0.6491161584854126,0.03,-0.6608012914657593,0.03,-0.7176918784777323,0.3,-0.6572105487187704,0.19021530946095788,0.05,-0.6581845283508301,0.2497226595878601,-0.008094390233357784,-0.00906836986541748,1
