dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,all_ot_beat_kl
3,-0.05918857455253601,0.03,-0.11382829894622166,0.05,-0.11026528477668762,0.05,-0.11144095907608668,0
4,-0.0649101585149765,0.03,-0.1501394808292389,0.1,-0.14740577340126038,0.05,-0.14775880674521127,0
5,-0.07241432865460713,0.03,-0.18691143890221915,0.03,-0.18319005767504373,0.03,-0.1850796341896057,0
8,-0.09869807958602905,0.03,-0.29651538530985516,0.05,-0.29588332772254944,0.05,-0.2959908644358317,0
