scenario,modality,q_quality,dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_reward,best_partial_reward,best_unbalanced_reward,best_l2_reward,best_ot_minus_kl,best_ot_minus_reverse_kl,best_pot_minus_kl,best_l2_minus_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
good_shift,low,mid,2,-0.5749555230140686,-0.6019356648127238,-0.16605584820111594,-0.32675159970919293,-0.16429024934768677,-0.1646216114362081,0.41066527366638184,0.437645415465037,0.24820392330487567,0.4103339115778605,0.43731405337651563,1
good_shift,low,mid,4,-0.860157827536265,-0.8316333492596945,-0.33134474356969196,-0.525329053401947,-0.3311385711034139,-0.3307218949000041,0.5290192564328511,0.5004947781562805,0.334828774134318,0.529435932636261,0.5009114543596904,1
good_shift,low,mid,8,-1.235435167948405,-1.1973949670791626,-0.6606958111127218,-0.8810738325119019,-0.6584743062655131,-0.6596010128657023,0.576960861682892,0.5389206608136495,0.35436133543650317,0.5758341550827027,0.5377939542134603,1
good_shift,low,noisy,2,-0.7218341827392578,-0.7809133132298788,-0.1668446660041809,-0.3238767584164937,-0.1652937481800715,-0.16461427509784698,0.5565404345591863,0.6156195650498073,0.3979574243227641,0.5572199076414108,0.6162990381320318,1
good_shift,low,noisy,4,-1.0239398280779521,-1.112092137336731,-0.32985344529151917,-0.5178387761116028,-0.33195992310841876,-0.32801318168640137,0.694086382786433,0.7822386920452118,0.5061010519663494,0.6959266463915508,0.7840789556503296,1
good_shift,low,noisy,8,-1.5638092756271362,-1.4041237433751423,-0.6610702077547709,-0.8672934571901957,-0.6604522864023844,-0.6588269670804342,0.9033569892247518,0.7436714569727579,0.6965158184369405,0.904982308546702,0.7452967762947081,1
good_shift,mid,clean,2,-0.2679469088713328,-0.2793428699175517,-0.16625391940275827,-0.44101553161938983,-0.16474182903766632,-0.16442497074604034,0.1032050798336665,0.11460104087988537,-0.173068622748057,0.10352193812529248,0.11491789917151135,0
good_shift,mid,clean,4,-0.4642513891061147,-0.451874981323878,-0.3342088460922241,-0.6430529356002808,-0.32924481232961017,-0.33045316735903424,0.13500657677650452,0.12263016899426782,-0.17880154649416607,0.13379822174708045,0.12142181396484375,0
good_shift,mid,clean,8,-0.8903801242510477,-0.7852237025896708,-0.6649667421976725,-0.9458698034286499,-0.6594560345013937,-0.6585506399472555,0.23092408974965406,0.1257676680882771,-0.05548967917760217,0.23182948430379224,0.1266730626424153,0
good_shift,mid,mid,2,-0.7102748354276022,-0.7082293232282003,-0.16749770442644754,-0.44201305508613586,-0.16434081395467123,-0.16452127695083618,0.5459340214729309,0.543888509273529,0.2682617803414663,0.545753558476766,0.5437080462773641,1
good_shift,mid,mid,4,-0.8857571482658386,-0.8946922421455383,-0.33396350344022113,-0.642183264096578,-0.33126723766326904,-0.3306104938189189,0.5544899106025696,0.5634250044822693,0.24357388416926062,0.5551466544469197,0.5640817483266194,1
good_shift,mid,mid,8,-1.235450267791748,-1.1878033876419067,-0.6631939808527628,-0.9407802621523539,-0.6588552196820577,-0.659461239973704,0.5765950481096903,0.528948167959849,0.29467000563939416,0.5759890278180441,0.5283421476682028,1
good_shift,mid,noisy,2,-0.8149924278259277,-0.8576794862747192,-0.1689325819412867,-0.43539975086847943,-0.16537553568681082,-0.1644530047972997,0.6496168921391169,0.6923039505879084,0.3795926769574483,0.650539423028628,0.6932264814774195,1
good_shift,mid,noisy,4,-1.0473665396372478,-1.0276667873064678,-0.33256132404009503,-0.6298660635948181,-0.3320722778638204,-0.3275741736094157,0.7152942617734275,0.6955945094426474,0.4175004760424297,0.719792366027832,0.700092613697052,1
good_shift,mid,noisy,8,-1.4173524777094524,-1.3395903905232747,-0.6624111930529276,-0.9307242433230082,-0.6607765158017477,-0.6583382288614908,0.7565759619077047,0.678813874721527,0.4866282343864442,0.7590142488479615,0.6812521616617838,1
good_shift,high,clean,2,-0.39411412676175434,-0.4276556770006816,-0.16742052137851715,-0.3316029558579127,-0.16497045755386353,-0.1644249310096105,0.2291436692078908,0.26268521944681805,0.06251117090384162,0.22968919575214383,0.2632307459910711,1
good_shift,high,clean,4,-0.5962319175402323,-0.5840404232343038,-0.3353036642074585,-0.4901556173960368,-0.32967161138852435,-0.33087750275929767,0.26656030615170795,0.2543688118457795,0.1060763001441955,0.26535441478093463,0.25316292047500616,1
good_shift,high,clean,8,-0.9863714575767517,-0.8735118508338928,-0.6660755674044291,-0.8131147623062134,-0.6605125268300375,-0.6582962075869242,0.32585893074671424,0.21299932400385535,0.17325669527053833,0.3280752499898275,0.21521564324696862,1
good_shift,high,mid,2,-0.8379620711008707,-0.8708952267964681,-0.16865306595961252,-0.3331131140391032,-0.1646463672320048,-0.16460512578487396,0.673315703868866,0.7062488595644634,0.5048489570617676,0.6733569453159968,0.7062901010115942,1
good_shift,high,mid,4,-0.9440412720044454,-1.0236010750134785,-0.3359766701857249,-0.49358898401260376,-0.3317041794459025,-0.3303699890772502,0.612337092558543,0.6918968955675759,0.45045228799184167,0.6136712829271953,0.6932310859362283,1
good_shift,high,mid,8,-1.3004260063171387,-1.2374589443206787,-0.6656825542449951,-0.8044689893722534,-0.6598843137423197,-0.6594273050626119,0.640541692574819,0.577574630578359,0.49595701694488525,0.6409987012545267,0.5780316392580668,1
good_shift,high,noisy,2,-0.9280753334363302,-1.0424806276957195,-0.17015542089939117,-0.3279140094916026,-0.16562387843926749,-0.1644428571065267,0.7624514549970627,0.876856749256452,0.6001613239447277,0.7636324763298035,0.8780377705891927,1
good_shift,high,noisy,4,-1.102394700050354,-1.2023619810740154,-0.3350280225276947,-0.4794342517852783,-0.33233074347178143,-0.3276180624961853,0.7700639565785725,0.8700312376022339,0.6229604482650757,0.7747766375541687,0.8747439185778301,1
good_shift,high,noisy,8,-1.4355319738388062,-1.4287099838256836,-0.6635592778523763,-0.793329119682312,-0.6616511146227518,-0.6582483649253845,0.7738808592160543,0.7670588692029318,0.6422028541564941,0.7772836089134216,0.7704616189002991,1
rotated,low,clean,2,-0.10754017035166423,-0.06550069401661555,-0.1643505891164144,-0.19982260962327322,-0.1644166111946106,-0.16432264943917593,-0.05681041876475017,-0.09884989509979884,-0.092282439271609,-0.0567824790875117,-0.09882195542256038,0
rotated,low,clean,4,-0.1971030036608378,-0.09147355208794276,-0.3314697543780009,-0.3817752202351888,-0.3278319239616394,-0.33028729756673175,-0.1307289203008016,-0.23635837187369663,-0.18467221657435098,-0.13318429390589395,-0.23881374547878897,0
rotated,low,clean,8,-0.37541790803273517,-0.1443056563536326,-0.6590097943941752,-0.7204670707384745,-0.6562212705612183,-0.6583226521809896,-0.2808033625284831,-0.5119156142075857,-0.3450491627057393,-0.28290474414825445,-0.514016995827357,0
rotated,low,mid,2,-0.1944411744674047,-0.16165661811828613,-0.16567347447077432,-0.20444939533869425,-0.16359463334083557,-0.1642339527606964,0.03084654112656912,-0.0019380152225494385,-0.010008220871289553,0.03020722170670828,-0.0025773346424102783,0
rotated,low,mid,4,-0.3108784556388855,-0.25234176715215045,-0.3306192954381307,-0.38219454884529114,-0.32979999979337055,-0.3302019039789836,-0.018921544154485048,-0.07745823264122009,-0.07131609320640564,-0.01932344834009808,-0.07786013682683313,0
rotated,low,mid,8,-0.497387558221817,-0.28920723994572956,-0.6603562037150065,-0.7209964593251547,-0.6565173665682474,-0.658906082312266,-0.15912980834643042,-0.3673101266225179,-0.22360890110333764,-0.16151852409044898,-0.36969884236653644,0
rotated,low,noisy,2,-0.47094716628392536,-0.3662397861480713,-0.16615444421768188,-0.2007173498471578,-0.16449588040510812,-0.16435069839159647,0.3064512858788172,0.20174390574296316,0.2702298164367676,0.30659646789232886,0.20188908775647482,1
rotated,low,noisy,4,-0.5486232042312622,-0.5389816065629324,-0.32937724391619366,-0.38145455718040466,-0.32955271005630493,-0.32756948471069336,0.21924596031506854,0.2096043626467387,0.16716864705085754,0.22105371952056885,0.211412121852239,1
rotated,low,noisy,8,-0.9079071879386902,-0.6491161584854126,-0.6608012914657593,-0.7176918784777323,-0.6572105487187704,-0.6581845283508301,0.2506966392199198,-0.008094390233357784,0.19021530946095788,0.2497226595878601,-0.00906836986541748,1
rotated,mid,clean,2,-0.10831877340873082,-0.0666614646712939,-0.16612506409486136,-0.24172132213910422,-0.16466924051443735,-0.16437673072020212,-0.05635046710570653,-0.09800777584314345,-0.13340254873037338,-0.0560579573114713,-0.09771526604890822,0
rotated,mid,clean,4,-0.1935856988032659,-0.08495195209980011,-0.3339834411938985,-0.369286706050237,-0.3290623227755229,-0.33002283175786334,-0.135476623972257,-0.24411037067572278,-0.1757010072469711,-0.13643713295459745,-0.24507087965806323,0
rotated,mid,clean,8,-0.3649566372235616,-0.12761422991752625,-0.6645816365877787,-0.7019656101862589,-0.659013549486796,-0.6583243409792582,-0.29405691226323444,-0.5313993195692698,-0.33700897296269733,-0.2933677037556966,-0.5307101110617319,0
rotated,mid,mid,2,-0.2715724507967631,-0.1995879809061686,-0.1672481894493103,-0.24735968808333078,-0.16412371893723807,-0.1644631326198578,0.10744873185952505,0.035464261968930544,0.02421276271343234,0.10710931817690533,0.03512484828631082,1
