dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.09946271032094955,-0.04862339670459429,0.03,-0.16742510596911112,0.03,-0.2638834665218989,0.03,-0.16493172446886697,-0.16442075620094937,0.05,-0.16438055038452148,-0.06491784006357193,-0.11630832776427269,-0.1157571536799272,0
4,-0.18278797964255014,-0.06566609690586726,0.03,-0.33526724576950073,0.03,-0.3971686859925588,0.05,-0.32957351207733154,-0.21438070635000864,0.1,-0.3307279447714488,-0.14793996512889865,-0.26390741517146427,-0.2650618478655815,0
8,-0.35212041934331256,-0.10958435138066609,0.03,-0.6660545865694681,0.03,-0.7269888122876486,0.1,-0.6604411204655966,-0.374868392944336,0.1,-0.6583425601323446,-0.30622214078903204,-0.5508567690849304,-0.5487582087516785,0
