dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,all_ot_beat_kl
3,-0.6462299525737762,0.03,-0.3619415611028671,0.3,-0.35840532183647156,0.1,-0.3600546419620514,1
4,-0.6109085977077484,0.03,-0.4812947064638138,0.05,-0.47800783812999725,0.05,-0.47713227570056915,1
5,-0.7929350137710571,0.03,-0.6017285883426666,0.3,-0.595531553030014,0.05,-0.5980738401412964,1
8,-1.1317184567451477,0.1,-0.9579433798789978,0.3,-0.9521055221557617,0.03,-0.9600030481815338,1
