dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.10449654857317607,-0.05911634241541227,0.03,-0.16729228695233664,0.03,-0.2590937713781993,0.03,-0.16495442390441895,-0.1545972228050232,0.05,-0.16439341008663177,-0.059896861513455704,-0.10583808148900667,-0.1052770676712195,0
4,-0.18740318218866983,-0.07491884380578995,0.03,-0.33513496319452923,0.03,-0.39131860931714374,0.05,-0.3296111623446147,-0.2039154271284739,0.1,-0.330718457698822,-0.1433152755101522,-0.25469231853882474,-0.2557996138930321,0
8,-0.35516764720280963,-0.1165982186794281,0.03,-0.6659219066301981,0.03,-0.7251699169476827,0.1,-0.6605305870374044,-0.3700022697448731,0.1,-0.6583388050397238,-0.3031711578369141,-0.5439323683579763,-0.5417405863602957,0
