dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.1845585803190867,-0.1636181672414144,0.03,-0.1656956970691681,0.03,-0.197475994626681,0.05,-0.16357714434464773,-0.0129174143075943,1.0,-0.164063091079394,0.020495489239692688,4.10228967666626e-05,-0.0004449238379796161,0
4,-0.3245701193809509,-0.24508023262023926,0.05,-0.3306668698787689,0.03,-0.3741100033124288,0.3,-0.3298106590906779,-0.049539883931477846,1.0,-0.33019954959551495,-0.005629430214564024,-0.08473042647043866,-0.0851193169752757,0
8,-0.4996154109636943,-0.282416969537735,0.05,-0.6604356567064921,0.03,-0.7192556858062744,0.1,-0.6565836866696676,-0.21964027484258014,0.1,-0.6589007576306661,-0.15928534666697186,-0.3741667171319326,-0.37648378809293115,0
