dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.2742825746536255,-0.20726244151592255,0.03,-0.1673708955446879,0.03,-0.22732789814472198,0.05,-0.1640835553407669,0.0469546765089035,0.03,-0.16447177032629648,0.10981080432732901,0.04317888617515564,0.04279067118962607,1
4,-0.3445044259230296,-0.30598321557044983,0.05,-0.3337067166964213,0.03,-0.3586256404717763,0.05,-0.33103976647059125,-0.014121214548746708,0.1,-0.33039402961730957,0.01411039630572003,-0.025056550900141417,-0.02441081404685974,0
8,-0.5459361672401428,-0.3846226930618286,0.05,-0.6631966829299927,0.03,-0.689885675907135,0.1,-0.6581720113754272,-0.1439495086669922,0.1,-0.6592344641685486,-0.11329829692840576,-0.27354931831359863,-0.27461177110671997,0
