dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.9280753334363302,-1.0424806276957195,0.03,-0.17015542089939117,0.03,-0.3279140094916026,0.03,-0.16562387843926749,0.6001613239447277,0.03,-0.1644428571065267,0.7636324763298035,0.876856749256452,0.8780377705891927,1
4,-1.102394700050354,-1.2023619810740154,0.05,-0.3350280225276947,0.03,-0.4794342517852783,0.03,-0.33233074347178143,0.6229604482650757,0.03,-0.3276180624961853,0.7747766375541687,0.8700312376022339,0.8747439185778301,1
8,-1.4355319738388062,-1.4287099838256836,0.03,-0.6635592778523763,0.03,-0.793329119682312,0.1,-0.6616511146227518,0.6422028541564941,0.05,-0.6582483649253845,0.7772836089134216,0.7670588692029318,0.7704616189002991,1
