dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.3430686891078949,-0.322025070587794,0.03,-0.16860127945741019,0.03,-0.2748269985119502,0.05,-0.16450575987497965,0.0682416905959447,0.03,-0.16459507743517557,0.17847361167271933,0.15751931071281436,0.15742999315261844,1
4,-0.43250393867492676,-0.3834364712238312,0.03,-0.3359319567680359,0.03,-0.3991374472777049,0.05,-0.33160073558489483,0.033366491397221865,0.1,-0.3302663763364156,0.10223756233851117,0.05183573563893634,0.05317009488741559,1
8,-0.593602697054545,-0.4551535447438558,0.05,-0.6656760573387146,0.03,-0.7248179713884989,0.1,-0.6597008109092712,-0.13121527433395386,0.03,-0.659404436747233,-0.06580173969268799,-0.20454726616541546,-0.20425089200337726,0
