dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.5270363688468933,-0.6120339433352152,0.03,-0.17012823124726614,0.03,-0.2639356404542923,0.03,-0.1656080981095632,0.263100728392601,0.03,-0.16441396375497183,0.36262240509192145,0.446425845225652,0.44761997958024335,1
4,-0.69988880554835,-0.6825636227925619,0.05,-0.3350147108236949,0.03,-0.3963128626346588,0.03,-0.3322838842868805,0.30357594291369117,0.03,-0.3275671104590098,0.37232169508934015,0.3502797385056814,0.35499651233355206,1
8,-0.9207224448521932,-0.8559598326683044,0.03,-0.6635672251383463,0.03,-0.7197883526484171,0.1,-0.6614266236623129,0.20093409220377612,0.05,-0.658221423625946,0.2625010212262472,0.19453320900599158,0.1977384090423584,1
