dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,all_ot_beat_kl
3,-0.2687535434961319,0.05,-0.36013248562812805,0.05,-0.3563528507947922,0.03,-0.35881973803043365,0
4,-0.3536897152662277,0.03,-0.48124486207962036,0.1,-0.4762113690376282,0.03,-0.48083826899528503,0
5,-0.43992777168750763,0.03,-0.601530909538269,0.3,-0.597351610660553,0.05,-0.5983423590660095,0
8,-0.7018693387508392,0.05,-0.962719053030014,0.05,-0.9544135332107544,0.03,-0.962100476026535,0
