dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,all_ot_beat_kl
3,-0.5900129973888397,0.03,-0.3606474697589874,0.3,-0.35835157334804535,0.1,-0.35897955298423767,1
4,-0.6462414264678955,0.03,-0.4800846725702286,0.05,-0.47798432409763336,0.1,-0.47625261545181274,1
5,-0.7100189030170441,0.03,-0.6003832221031189,0.3,-0.5952616631984711,0.05,-0.5975124537944794,1
8,-1.0733027458190918,0.1,-0.9525448679924011,1.0,-0.950226217508316,0.3,-0.9554380774497986,1
