dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.2679469088713328,-0.2793428699175517,0.03,-0.16625391940275827,0.03,-0.44101553161938983,0.03,-0.16474182903766632,-0.173068622748057,0.05,-0.16442497074604034,0.10352193812529248,0.11460104087988537,0.11491789917151135,0
4,-0.4642513891061147,-0.451874981323878,0.03,-0.3342088460922241,0.03,-0.6430529356002808,0.05,-0.32924481232961017,-0.17880154649416607,0.1,-0.33045316735903424,0.13379822174708045,0.12263016899426782,0.12142181396484375,0
8,-0.8903801242510477,-0.7852237025896708,0.05,-0.6649667421976725,0.03,-0.9458698034286499,0.1,-0.6594560345013937,-0.05548967917760217,0.1,-0.6585506399472555,0.23182948430379224,0.1257676680882771,0.1266730626424153,0
