dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-0.9847716887791952,0.01201352689739787,0.1139,0.0023508863576673926,0.05793333333333334,0.002113974666094391
2,forward_kl,1.0,3,-0.10436764856179555,0.0008165202396035714,0.0,0.0,0.32993333333333336,0.002989239962859379
2,l2_constraint,0.03,3,-0.16437102854251862,0.001958340262684636,0.0,0.0,0.22269999999999998,0.001186029791643819
2,l2_constraint,0.05,3,-0.16672945022583008,0.0005262975573766743,0.0,0.0,0.22146666666666667,0.0028003967972810924
2,l2_constraint,0.1,3,-0.1649936487277349,0.001718022390664494,0.0,0.0,0.22196666666666665,0.005567963920700475
2,l2_constraint,0.3,3,-0.16579544047514597,0.0019211832357219887,0.0,0.0,0.21916666666666665,0.0028534579412043595
2,l2_constraint,1.0,3,-0.16578619678815207,0.0013624132856423635,0.0,0.0,0.2215666666666667,0.005956135958451216
2,partial_ot,0.03,3,-0.195235475897789,0.0032289138753752874,0.0,0.0,0.18966666666666665,0.0013960261060914588
2,partial_ot,0.05,3,-0.30448168019453686,0.056205575403734026,0.0006,0.000408248290463863,0.12803333333333333,0.028741298200015634
2,partial_ot,0.1,3,-0.7649911443392435,0.041698711517870926,0.0297,0.005940258131316068,0.0357,0.0024262453846770446
2,partial_ot,0.3,3,-1.6083296934763591,0.37854672180241533,0.1789333333333333,0.06566939080643956,0.029799999999999997,0.0061226355980628705
2,partial_ot,1.0,3,-6.734226703643799,0.8936504423298164,0.49816666666666665,0.03168599410184602,0.006999999999999999,0.001392838827718412
2,reverse_kl,1.0,3,-0.05905421823263168,0.0012058535877612843,0.0,0.0,0.5029666666666667,0.004906005390222144
2,unbalanced_ot,0.03,3,-0.16439939538637796,0.001434124378673346,0.0,0.0,0.22483333333333333,0.0028452689777164466
2,unbalanced_ot,0.05,3,-0.166118452946345,0.0012411164298118766,0.0,0.0,0.2218,0.005273202695389838
2,unbalanced_ot,0.1,3,-0.16661436359087625,0.0027621163440915294,0.0,0.0,0.22230000000000003,0.007647657593450861
2,unbalanced_ot,0.3,3,-0.1670793741941452,0.0019168149441079396,0.0,0.0,0.21716666666666665,0.0028122746823325984
2,unbalanced_ot,1.0,3,-0.16672288874785104,0.0011435630864075439,0.0,0.0,0.21796666666666664,0.003561210780369826
2,wasserstein,0.03,3,-0.1646494468053182,0.0013585731983909784,0.0,0.0,0.22376666666666667,0.0032262809686834306
2,wasserstein,0.05,3,-0.16438153386116028,0.0006090571446851338,0.0,0.0,0.22536666666666663,0.0011585431464655163
2,wasserstein,0.1,3,-0.16655738651752472,0.0019043934054830598,0.0,0.0,0.2192666666666667,0.0059589335362033495
2,wasserstein,0.3,3,-0.16897538304328918,0.00011330786337841378,0.0,0.0,0.2191,0.0031591137997862666
2,wasserstein,1.0,3,-0.17583071688810983,0.0023483640129123183,0.0,0.0,0.20826666666666668,0.0029847761874031513
4,bc,1.0,3,-1.270925482114156,0.017211472281416784,0.11383333333333333,0.003913509365717116,0.016,0.001667333200053307
4,forward_kl,1.0,3,-0.19335384170214334,0.0012260188258371996,0.0,0.0,0.2136,0.005678614854580892
4,l2_constraint,0.03,3,-0.3304244875907898,0.0007527581763496818,0.0,0.0,0.09256666666666667,0.002252899366495438
4,l2_constraint,0.05,3,-0.3313365976015727,0.002234591516253103,0.0,0.0,0.08923333333333333,0.00047842333648024076
4,l2_constraint,0.1,3,-0.33015844225883484,0.0023326555699628,0.0,0.0,0.09146666666666665,0.0022895899681432495
4,l2_constraint,0.3,3,-0.3322499394416809,0.0016437169530549246,0.0,0.0,0.08933333333333333,0.0008178562764256869
4,l2_constraint,1.0,3,-0.3312936027844747,0.0018330009397311293,0.0,0.0,0.09050000000000001,0.0029473151624260802
4,partial_ot,0.03,3,-0.3738718231519063,0.00514686278812355,0.0,0.0,0.07526666666666666,0.0036371539545211585
4,partial_ot,0.05,3,-0.47637994090716046,0.06229241256489002,0.0005333333333333334,0.00044969125210773475,0.0496,0.01041761329032071
4,partial_ot,0.1,3,-0.8549277782440186,0.16677061497008708,0.019966666666666667,0.021382911141584277,0.017499999999999998,0.004390899680020029
4,partial_ot,0.3,3,-2.2082192500432334,0.2248379745313639,0.14403333333333332,0.04882624521937174,0.002266666666666667,0.0006128258770283412
4,partial_ot,1.0,3,-9.83036740620931,0.2652972323953403,0.5127666666666667,0.013089775484026525,0.0002,0.0001414213562373095
4,reverse_kl,1.0,3,-0.08358495185772578,0.0012886210961136405,0.0,0.0,0.5922333333333333,0.010300916895543293
4,unbalanced_ot,0.03,3,-0.3332286874453227,0.002440833757381249,0.0,0.0,0.08900000000000001,0.002404163056034265
4,unbalanced_ot,0.05,3,-0.3284650146961212,0.002953135341281529,0.0,0.0,0.09016666666666666,0.004333846123505334
4,unbalanced_ot,0.1,3,-0.32781825462977093,0.0033658488140842022,0.0,0.0,0.09546666666666666,0.0011728408057172823
4,unbalanced_ot,0.3,3,-0.3309019108613332,0.0019109422626950858,0.0,0.0,0.08753333333333334,0.0025037749277618524
4,unbalanced_ot,1.0,3,-0.33346231778462726,0.0020020086018247805,0.0,0.0,0.08776666666666666,0.002191397321852483
4,wasserstein,0.03,3,-0.33248772223790485,0.0009756096232805851,0.0,0.0,0.08789999999999999,0.0020461345670963705
4,wasserstein,0.05,3,-0.331535001595815,0.004317807644705368,0.0,0.0,0.09079999999999999,0.001557776192739722
4,wasserstein,0.1,3,-0.3334924280643463,0.0019949047671779237,0.0,0.0,0.08826666666666666,0.001892675942210454
4,wasserstein,0.3,3,-0.33766116698582965,0.0016977744452073816,0.0,0.0,0.08566666666666667,0.0033865748019036735
4,wasserstein,1.0,3,-0.34268009662628174,0.0016567854678887555,0.0,0.0,0.08376666666666667,0.0003299831645537251
8,bc,1.0,3,-1.8600261211395264,0.015591420250029072,0.1151,0.00581262992686328,0.0014000000000000002,0.00021602468994692865
8,forward_kl,1.0,3,-0.3713521460692088,0.0006429823699264072,0.0,0.0,0.10656666666666668,0.002572072229848057
8,l2_constraint,0.03,3,-0.6588536103566488,0.0024380942044139715,0.0,0.0,0.0179,0.0010677078252031304
8,l2_constraint,0.05,3,-0.6632856329282125,0.0044225184345791126,0.0,0.0,0.0189,0.001687206764645835
8,l2_constraint,0.1,3,-0.6586664915084839,0.004689269874435679,0.0,0.0,0.019366666666666667,0.0014817407180595249
8,l2_constraint,0.3,3,-0.6583366195360819,0.001963635826762579,0.0,0.0,0.019866666666666664,0.0007586537784494025
8,l2_constraint,1.0,3,-0.6618762016296387,0.0005722568222385939,0.0,0.0,0.019766666666666665,0.0005734883511361759
8,partial_ot,0.03,3,-0.7180725336074829,0.006842824535320461,0.0,0.0,0.014433333333333333,0.0008055363982396387
8,partial_ot,0.05,3,-0.7661730249722799,0.0033435079336963836,0.0,0.0,0.012166666666666668,0.0007586537784494025
8,partial_ot,0.1,3,-0.9050367673238119,0.014316444922958109,0.00036666666666666667,0.00020548046676563254,0.0076,0.00014142135623730948
8,partial_ot,0.3,3,-2.3306121826171875,0.2000226845618947,0.05213333333333333,0.030753464122852167,0.0003333333333333333,0.0002494438257849294
8,partial_ot,1.0,3,-9.8910919825236,0.5291845377444936,0.4068,0.020234788525375462,0.0,0.0
8,reverse_kl,1.0,3,-0.13447567323843637,0.0007148434381082182,0.0,0.0,0.7227,0.003811386449399579
8,unbalanced_ot,0.03,3,-0.6616459091504415,0.0026619230265534214,0.0,0.0,0.0208,0.0019949937343260006
8,unbalanced_ot,0.05,3,-0.6600554784138998,0.0032275230161562876,0.0,0.0,0.018766666666666668,0.001665999866613307
8,unbalanced_ot,0.1,3,-0.6573929190635681,0.004195453005240509,0.0,0.0,0.020599999999999997,0.0008041558721209874
8,unbalanced_ot,0.3,3,-0.6561373273531595,0.0018118585253881461,0.0,0.0,0.019,0.002092844953645635
8,unbalanced_ot,1.0,3,-0.6628075838088989,0.00125088925603714,0.0,0.0,0.0196,0.0017907168024751052
8,wasserstein,0.03,3,-0.6634505391120911,0.0035565066266868947,0.0,0.0,0.01983333333333333,0.001065624490876386
8,wasserstein,0.05,3,-0.6620015501976013,0.0006667423787361222,0.0,0.0,0.019733333333333332,0.00038586123009300843
8,wasserstein,0.1,3,-0.6591456731160482,0.0040605063908870425,0.0,0.0,0.018466666666666666,0.0012283683848458864
8,wasserstein,0.3,3,-0.6673903465270996,0.0005265121047417135,0.0,0.0,0.01983333333333333,0.001249888883950179
8,wasserstein,1.0,3,-0.6766918500264486,0.0031198168284704043,0.0,0.0,0.0168,0.0004966554808583782
