dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,all_ot_beat_kl
3,-0.5378139019012451,0.03,-0.3641144633293152,0.1,-0.3577580899000168,0.03,-0.3604665547609329,1
4,-0.5505582392215729,0.03,-0.483669176697731,0.05,-0.47994545102119446,0.05,-0.47817011177539825,1
5,-0.6490187644958496,0.03,-0.6047410368919373,0.05,-0.5968471467494965,0.05,-0.5976027846336365,1
8,-0.8581390678882599,0.05,-0.9642630815505981,0.05,-0.9555813074111938,0.03,-0.962589293718338,0
