dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,all_ot_beat_kl
3,-0.6474843323230743,0.03,-0.3629029393196106,0.1,-0.36140555143356323,0.1,-0.3610197454690933,1
4,-0.7415845990180969,0.03,-0.4823068082332611,0.03,-0.47863490879535675,0.05,-0.4775891602039337,1
5,-0.8494608402252197,0.03,-0.6026700735092163,0.05,-0.5974384248256683,0.05,-0.5984845757484436,1
8,-1.2203845977783203,0.1,-0.9651841819286346,0.03,-0.9576583802700043,0.03,-0.9602622091770172,1
