dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.2715724507967631,-0.1995879809061686,0.03,-0.1672481894493103,0.03,-0.24735968808333078,0.05,-0.16412371893723807,0.02421276271343234,0.03,-0.1644631326198578,0.10710931817690533,0.035464261968930544,0.03512484828631082,1
4,-0.326137512922287,-0.2822912832101186,0.05,-0.3334699670473735,0.03,-0.3707211911678314,0.05,-0.3310781220595042,-0.044583678245544434,0.1,-0.3304040729999542,-0.004266560077667236,-0.048786838849385616,-0.04811278978983563,0
8,-0.5436334411303202,-0.3914898633956909,0.05,-0.6629561980565389,0.03,-0.69917893409729,0.1,-0.6582422256469727,-0.15554549296696984,0.1,-0.6592699885368347,-0.11563654740651452,-0.26675236225128174,-0.2677801251411438,0
