dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,best_ot_minus_reverse_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
2,-0.10754017035166423,-0.06550069401661555,0.05,-0.1643505891164144,0.03,-0.19982260962327322,0.03,-0.1644166111946106,-0.092282439271609,0.05,-0.16432264943917593,-0.0567824790875117,-0.09884989509979884,-0.09882195542256038,0
4,-0.1971030036608378,-0.09147355208794276,0.05,-0.3314697543780009,0.03,-0.3817752202351888,0.1,-0.3278319239616394,-0.18467221657435098,0.1,-0.33028729756673175,-0.13318429390589395,-0.23635837187369663,-0.23881374547878897,0
8,-0.37541790803273517,-0.1443056563536326,0.1,-0.6590097943941752,0.03,-0.7204670707384745,0.3,-0.6562212705612183,-0.3450491627057393,0.1,-0.6583226521809896,-0.28290474414825445,-0.5119156142075857,-0.514016995827357,0
